Driver,LapNumber,LapTime,Compound,TyreLife,Stint,Position
LEC,4.0,0 days 00:01:37.752000,SOFT,7.0,1.0,3.0
LEC,5.0,0 days 00:01:38.131000,SOFT,8.0,1.0,3.0
LEC,6.0,0 days 00:01:37.782000,SOFT,9.0,1.0,3.0
LEC,7.0,0 days 00:01:38.957000,SOFT,10.0,1.0,4.0
LEC,8.0,0 days 00:01:38.136000,SOFT,11.0,1.0,4.0
LEC,9.0,0 days 00:01:37.844000,SOFT,12.0,1.0,4.0
LEC,10.0,0 days 00:01:37.884000,SOFT,13.0,1.0,4.0
LEC,11.0,0 days 00:01:41.737000,SOFT,14.0,1.0,6.0
LEC,12.0,0 days 00:01:57.471000,HARD,1.0,2.0,13.0
LEC,13.0,0 days 00:01:36.432000,HARD,2.0,2.0,9.0
LEC,14.0,0 days 00:01:36.756000,HARD,3.0,2.0,8.0
LEC,15.0,0 days 00:01:36.813000,HARD,4.0,2.0,6.0
LEC,16.0,0 days 00:01:36.673000,HARD,5.0,2.0,4.0
LEC,17.0,0 days 00:01:37.302000,HARD,6.0,2.0,5.0
LEC,18.0,0 days 00:01:37.438000,HARD,7.0,2.0,5.0
LEC,19.0,0 days 00:01:36.821000,HARD,8.0,2.0,5.0
LEC,20.0,0 days 00:01:36.794000,HARD,9.0,2.0,5.0
LEC,21.0,0 days 00:01:36.977000,HARD,10.0,2.0,5.0
LEC,22.0,0 days 00:01:36.796000,HARD,11.0,2.0,5.0
LEC,23.0,0 days 00:01:36.987000,HARD,12.0,2.0,5.0
LEC,24.0,0 days 00:01:36.924000,HARD,13.0,2.0,5.0
LEC,25.0,0 days 00:01:36.760000,HARD,14.0,2.0,5.0
LEC,26.0,0 days 00:01:36.810000,HARD,15.0,2.0,5.0
LEC,27.0,0 days 00:01:36.831000,HARD,16.0,2.0,5.0
LEC,28.0,0 days 00:01:36.907000,HARD,17.0,2.0,5.0
LEC,29.0,0 days 00:01:36.963000,HARD,18.0,2.0,5.0
LEC,30.0,0 days 00:01:37.158000,HARD,19.0,2.0,5.0
LEC,31.0,0 days 00:01:37.031000,HARD,20.0,2.0,4.0
LEC,32.0,0 days 00:01:36.941000,HARD,21.0,2.0,4.0
LEC,33.0,0 days 00:01:36.741000,HARD,22.0,2.0,4.0
LEC,34.0,0 days 00:01:39.614000,HARD,23.0,2.0,4.0
LEC,35.0,0 days 00:01:56.166000,HARD,1.0,3.0,6.0
LEC,36.0,0 days 00:01:34.090000,HARD,2.0,3.0,5.0
LEC,37.0,0 days 00:01:34.897000,HARD,3.0,3.0,5.0
LEC,38.0,0 days 00:01:34.783000,HARD,4.0,3.0,5.0
LEC,39.0,0 days 00:01:35.087000,HARD,5.0,3.0,5.0
LEC,40.0,0 days 00:01:34.859000,HARD,6.0,3.0,5.0
LEC,41.0,0 days 00:01:35.028000,HARD,7.0,3.0,5.0
LEC,42.0,0 days 00:01:34.982000,HARD,8.0,3.0,5.0
LEC,43.0,0 days 00:01:35.192000,HARD,9.0,3.0,5.0
LEC,44.0,0 days 00:01:35.051000,HARD,10.0,3.0,5.0
LEC,45.0,0 days 00:01:35.220000,HARD,11.0,3.0,5.0
LEC,46.0,0 days 00:01:35.058000,HARD,12.0,3.0,4.0
LEC,47.0,0 days 00:01:35.057000,HARD,13.0,3.0,4.0
LEC,48.0,0 days 00:01:35.308000,HARD,14.0,3.0,4.0
LEC,49.0,0 days 00:01:35.302000,HARD,15.0,3.0,4.0
LEC,50.0,0 days 00:01:35.383000,HARD,16.0,3.0,4.0
LEC,51.0,0 days 00:01:35.418000,HARD,17.0,3.0,4.0
LEC,52.0,0 days 00:01:35.394000,HARD,18.0,3.0,4.0
LEC,53.0,0 days 00:01:35.480000,HARD,19.0,3.0,4.0
LEC,54.0,0 days 00:01:35.265000,HARD,20.0,3.0,4.0
LEC,55.0,0 days 00:01:35.785000,HARD,21.0,3.0,4.0
LEC,56.0,0 days 00:01:35.924000,HARD,22.0,3.0,4.0
LEC,57.0,0 days 00:01:36.324000,HARD,23.0,3.0,4.0
RUS,1.0,0 days 00:01:39.228000,SOFT,4.0,1.0,3.0
RUS,2.0,0 days 00:01:36.635000,SOFT,5.0,1.0,3.0
RUS,3.0,0 days 00:01:36.406000,SOFT,6.0,1.0,2.0
RUS,4.0,0 days 00:01:37.738000,SOFT,7.0,1.0,2.0
RUS,5.0,0 days 00:01:38.116000,SOFT,8.0,1.0,2.0
RUS,6.0,0 days 00:01:37.784000,SOFT,9.0,1.0,2.0
RUS,7.0,0 days 00:01:38.082000,SOFT,10.0,1.0,2.0
RUS,8.0,0 days 00:01:37.862000,SOFT,11.0,1.0,2.0
RUS,9.0,0 days 00:01:37.730000,SOFT,12.0,1.0,2.0
RUS,10.0,0 days 00:01:37.782000,SOFT,13.0,1.0,2.0
RUS,11.0,0 days 00:01:40.515000,SOFT,14.0,1.0,4.0
RUS,12.0,0 days 00:01:58.460000,HARD,1.0,2.0,11.0
RUS,13.0,0 days 00:01:37.167000,HARD,2.0,2.0,7.0
RUS,14.0,0 days 00:01:37.571000,HARD,3.0,2.0,7.0
RUS,15.0,0 days 00:01:36.922000,HARD,4.0,2.0,4.0
RUS,16.0,0 days 00:01:36.683000,HARD,5.0,2.0,3.0
RUS,17.0,0 days 00:01:36.234000,HARD,6.0,2.0,3.0
RUS,18.0,0 days 00:01:37.819000,HARD,7.0,2.0,4.0
RUS,19.0,0 days 00:01:37.233000,HARD,8.0,2.0,4.0
RUS,20.0,0 days 00:01:36.732000,HARD,9.0,2.0,4.0
RUS,21.0,0 days 00:01:36.769000,HARD,10.0,2.0,4.0
RUS,22.0,0 days 00:01:36.992000,HARD,11.0,2.0,4.0
RUS,23.0,0 days 00:01:36.954000,HARD,12.0,2.0,4.0
RUS,24.0,0 days 00:01:36.736000,HARD,13.0,2.0,4.0
RUS,25.0,0 days 00:01:36.928000,HARD,14.0,2.0,4.0
RUS,26.0,0 days 00:01:36.801000,HARD,15.0,2.0,4.0
RUS,27.0,0 days 00:01:36.815000,HARD,16.0,2.0,4.0
RUS,28.0,0 days 00:01:36.911000,HARD,17.0,2.0,4.0
RUS,29.0,0 days 00:01:37.066000,HARD,18.0,2.0,4.0
RUS,30.0,0 days 00:01:37.186000,HARD,19.0,2.0,4.0
RUS,31.0,0 days 00:01:39.405000,HARD,20.0,2.0,5.0
RUS,32.0,0 days 00:01:57.267000,HARD,1.0,3.0,9.0
RUS,33.0,0 days 00:01:35.838000,HARD,2.0,3.0,9.0
RUS,34.0,0 days 00:01:35.241000,HARD,3.0,3.0,6.0
RUS,35.0,0 days 00:01:35.772000,HARD,4.0,3.0,4.0
RUS,36.0,0 days 00:01:35.434000,HARD,5.0,3.0,4.0
RUS,37.0,0 days 00:01:35.481000,HARD,6.0,3.0,4.0
RUS,38.0,0 days 00:01:35.479000,HARD,7.0,3.0,4.0
RUS,39.0,0 days 00:01:35.204000,HARD,8.0,3.0,4.0
RUS,40.0,0 days 00:01:35.065000,HARD,9.0,3.0,4.0
RUS,41.0,0 days 00:01:35.093000,HARD,10.0,3.0,4.0
RUS,42.0,0 days 00:01:35.136000,HARD,11.0,3.0,4.0
RUS,43.0,0 days 00:01:35.193000,HARD,12.0,3.0,4.0
RUS,44.0,0 days 00:01:35.162000,HARD,13.0,3.0,4.0
RUS,45.0,0 days 00:01:35.276000,HARD,14.0,3.0,4.0
RUS,46.0,0 days 00:01:36.657000,HARD,15.0,3.0,5.0
RUS,47.0,0 days 00:01:35.805000,HARD,16.0,3.0,5.0
RUS,48.0,0 days 00:01:36.059000,HARD,17.0,3.0,5.0
RUS,49.0,0 days 00:01:35.954000,HARD,18.0,3.0,5.0
RUS,50.0,0 days 00:01:36.181000,HARD,19.0,3.0,5.0
RUS,51.0,0 days 00:01:35.852000,HARD,20.0,3.0,5.0
RUS,52.0,0 days 00:01:36.186000,HARD,21.0,3.0,5.0
RUS,53.0,0 days 00:01:35.979000,HARD,22.0,3.0,5.0
RUS,54.0,0 days 00:01:36.013000,HARD,23.0,3.0,5.0
RUS,55.0,0 days 00:01:36.151000,HARD,24.0,3.0,5.0
RUS,56.0,0 days 00:01:36.350000,HARD,25.0,3.0,5.0
RUS,57.0,0 days 00:01:36.440000,HARD,26.0,3.0,5.0
NOR,1.0,0 days 00:01:42.168000,SOFT,4.0,1.0,7.0
NOR,2.0,0 days 00:01:38.010000,SOFT,5.0,1.0,7.0
NOR,3.0,0 days 00:01:37.787000,SOFT,6.0,1.0,6.0
NOR,4.0,0 days 00:01:37.450000,SOFT,7.0,1.0,6.0
NOR,5.0,0 days 00:01:37.794000,SOFT,8.0,1.0,6.0
NOR,6.0,0 days 00:01:37.896000,SOFT,9.0,1.0,6.0
NOR,7.0,0 days 00:01:37.860000,SOFT,10.0,1.0,6.0
NOR,8.0,0 days 00:01:38.134000,SOFT,11.0,1.0,6.0
NOR,9.0,0 days 00:01:38.064000,SOFT,12.0,1.0,6.0
NOR,10.0,0 days 00:01:37.936000,SOFT,13.0,1.0,6.0
NOR,11.0,0 days 00:01:38.172000,SOFT,14.0,1.0,5.0
NOR,12.0,0 days 00:01:38.082000,SOFT,15.0,1.0,4.0
NOR,13.0,0 days 00:01:40.635000,SOFT,16.0,1.0,3.0
NOR,14.0,0 days 00:01:57.770000,HARD,1.0,2.0,9.0
NOR,15.0,0 days 00:01:36.912000,HARD,2.0,2.0,8.0
NOR,16.0,0 days 00:01:36.565000,HARD,3.0,2.0,6.0
NOR,17.0,0 days 00:01:36.776000,HARD,4.0,2.0,6.0
NOR,18.0,0 days 00:01:36.508000,HARD,5.0,2.0,6.0
NOR,19.0,0 days 00:01:36.416000,HARD,6.0,2.0,6.0
NOR,20.0,0 days 00:01:36.501000,HARD,7.0,2.0,6.0
NOR,21.0,0 days 00:01:36.620000,HARD,8.0,2.0,6.0
NOR,22.0,0 days 00:01:36.668000,HARD,9.0,2.0,6.0
NOR,23.0,0 days 00:01:36.696000,HARD,10.0,2.0,6.0
NOR,24.0,0 days 00:01:36.823000,HARD,11.0,2.0,6.0
NOR,25.0,0 days 00:01:36.730000,HARD,12.0,2.0,6.0
NOR,26.0,0 days 00:01:36.566000,HARD,13.0,2.0,6.0
NOR,27.0,0 days 00:01:36.726000,HARD,14.0,2.0,6.0
NOR,28.0,0 days 00:01:37.018000,HARD,15.0,2.0,6.0
NOR,29.0,0 days 00:01:37.041000,HARD,16.0,2.0,6.0
NOR,30.0,0 days 00:01:36.986000,HARD,17.0,2.0,6.0
NOR,31.0,0 days 00:01:37.083000,HARD,18.0,2.0,6.0
NOR,32.0,0 days 00:01:37.171000,HARD,19.0,2.0,5.0
NOR,33.0,0 days 00:01:39.626000,HARD,20.0,2.0,5.0
NOR,34.0,0 days 00:01:56.898000,HARD,1.0,3.0,8.0
NOR,35.0,0 days 00:01:34.476000,HARD,2.0,3.0,7.0
NOR,36.0,0 days 00:01:35.690000,HARD,3.0,3.0,6.0
NOR,37.0,0 days 00:01:35.067000,HARD,4.0,3.0,6.0
NOR,38.0,0 days 00:01:35.149000,HARD,5.0,3.0,6.0
NOR,39.0,0 days 00:01:34.880000,HARD,6.0,3.0,6.0
NOR,40.0,0 days 00:01:35.276000,HARD,7.0,3.0,6.0
NOR,41.0,0 days 00:01:35.069000,HARD,8.0,3.0,6.0
NOR,42.0,0 days 00:01:35.165000,HARD,9.0,3.0,6.0
NOR,43.0,0 days 00:01:35.295000,HARD,10.0,3.0,6.0
NOR,44.0,0 days 00:01:35.346000,HARD,11.0,3.0,6.0
NOR,45.0,0 days 00:01:35.338000,HARD,12.0,3.0,6.0
NOR,46.0,0 days 00:01:35.371000,HARD,13.0,3.0,6.0
NOR,47.0,0 days 00:01:35.485000,HARD,14.0,3.0,6.0
NOR,48.0,0 days 00:01:35.717000,HARD,15.0,3.0,6.0
NOR,49.0,0 days 00:01:35.674000,HARD,16.0,3.0,6.0
NOR,50.0,0 days 00:01:35.657000,HARD,17.0,3.0,6.0
NOR,51.0,0 days 00:01:36.038000,HARD,18.0,3.0,6.0
NOR,52.0,0 days 00:01:35.922000,HARD,19.0,3.0,6.0
NOR,53.0,0 days 00:01:35.782000,HARD,20.0,3.0,6.0
NOR,54.0,0 days 00:01:35.934000,HARD,21.0,3.0,6.0
NOR,55.0,0 days 00:01:36.223000,HARD,22.0,3.0,6.0
NOR,56.0,0 days 00:01:35.976000,HARD,23.0,3.0,6.0
NOR,57.0,0 days 00:01:36.582000,HARD,24.0,3.0,6.0
HAM,1.0,0 days 00:01:43.122000,SOFT,4.0,1.0,9.0
HAM,2.0,0 days 00:01:38.273000,SOFT,5.0,1.0,9.0
HAM,3.0,0 days 00:01:38.303000,SOFT,6.0,1.0,9.0
HAM,4.0,0 days 00:01:38.287000,SOFT,7.0,1.0,9.0
HAM,5.0,0 days 00:01:38.350000,SOFT,8.0,1.0,9.0
HAM,6.0,0 days 00:01:38.183000,SOFT,9.0,1.0,9.0
HAM,7.0,0 days 00:01:37.839000,SOFT,10.0,1.0,9.0
HAM,8.0,0 days 00:01:38.221000,SOFT,11.0,1.0,9.0
HAM,9.0,0 days 00:01:38.645000,SOFT,12.0,1.0,9.0
HAM,10.0,0 days 00:01:38.037000,SOFT,13.0,1.0,8.0
HAM,11.0,0 days 00:01:38.236000,SOFT,14.0,1.0,8.0
HAM,12.0,0 days 00:01:40.889000,SOFT,15.0,1.0,7.0
HAM,13.0,0 days 00:01:58.645000,HARD,1.0,2.0,12.0
HAM,14.0,0 days 00:01:37.178000,HARD,2.0,2.0,11.0
HAM,15.0,0 days 00:01:37.264000,HARD,3.0,2.0,10.0
HAM,16.0,0 days 00:01:37.091000,HARD,4.0,2.0,8.0
HAM,17.0,0 days 00:01:37.111000,HARD,5.0,2.0,8.0
HAM,18.0,0 days 00:01:36.850000,HARD,6.0,2.0,8.0
HAM,19.0,0 days 00:01:36.694000,HARD,7.0,2.0,8.0
HAM,20.0,0 days 00:01:36.264000,HARD,8.0,2.0,8.0
HAM,21.0,0 days 00:01:36.510000,HARD,9.0,2.0,8.0
HAM,22.0,0 days 00:01:36.633000,HARD,10.0,2.0,8.0
HAM,23.0,0 days 00:01:36.717000,HARD,11.0,2.0,8.0
HAM,24.0,0 days 00:01:36.666000,HARD,12.0,2.0,8.0
HAM,25.0,0 days 00:01:36.919000,HARD,13.0,2.0,8.0
HAM,26.0,0 days 00:01:36.714000,HARD,14.0,2.0,8.0
HAM,27.0,0 days 00:01:37.201000,HARD,15.0,2.0,8.0
HAM,28.0,0 days 00:01:36.692000,HARD,16.0,2.0,8.0
HAM,29.0,0 days 00:01:36.786000,HARD,17.0,2.0,8.0
HAM,30.0,0 days 00:01:37.244000,HARD,18.0,2.0,8.0
HAM,31.0,0 days 00:01:36.975000,HARD,19.0,2.0,8.0
HAM,32.0,0 days 00:01:37.325000,HARD,20.0,2.0,7.0
HAM,33.0,0 days 00:01:39.696000,HARD,21.0,2.0,7.0
HAM,34.0,0 days 00:01:54.974000,HARD,1.0,3.0,9.0
