Year,Race,Driver,Team,LapNumber,Compound,TyreLife,Stint,Position,TrackStatus,LapTimeSeconds,DrivingStyleCluster,DrivingStyle
2024.0,Spain,NOR,McLaren,8.0,SOFT,8.0,1.0,3.0,1.0,81.443,3.0,Fast & Efficient Driver
2024.0,Spain,NOR,McLaren,9.0,SOFT,9.0,1.0,3.0,1.0,81.143,3.0,Fast & Efficient Driver
2024.0,Spain,NOR,McLaren,10.0,SOFT,10.0,1.0,3.0,1.0,81.223,3.0,Fast & Efficient Driver
2024.0,Spain,NOR,McLaren,11.0,SOFT,11.0,1.0,3.0,1.0,81.285,3.0,Fast & Efficient Driver
2024.0,Spain,NOR,McLaren,12.0,SOFT,12.0,1.0,3.0,1.0,81.354,3.0,Fast & Efficient Driver
2024.0,Spain,NOR,McLaren,13.0,SOFT,13.0,1.0,3.0,1.0,81.432,3.0,Fast & Efficient Driver
2024.0,Spain,NOR,McLaren,14.0,SOFT,14.0,1.0,3.0,1.0,81.66,3.0,Fast & Efficient Driver
2024.0,Spain,NOR,McLaren,15.0,SOFT,15.0,1.0,2.0,1.0,81.541,3.0,Fast & Efficient Driver
2024.0,Spain,NOR,McLaren,16.0,SOFT,16.0,1.0,2.0,1.0,80.471,3.0,Fast & Efficient Driver
2024.0,Spain,NOR,McLaren,17.0,SOFT,17.0,1.0,2.0,1.0,80.908,3.0,Fast & Efficient Driver
2024.0,Spain,NOR,McLaren,18.0,SOFT,18.0,1.0,1.0,1.0,80.447,3.0,Fast & Efficient Driver
2024.0,Spain,NOR,McLaren,19.0,SOFT,19.0,1.0,1.0,1.0,80.635,3.0,Fast & Efficient Driver
2024.0,Spain,NOR,McLaren,20.0,SOFT,20.0,1.0,1.0,1.0,80.816,3.0,Fast & Efficient Driver
2024.0,Spain,NOR,McLaren,21.0,SOFT,21.0,1.0,1.0,1.0,80.907,3.0,Fast & Efficient Driver
2024.0,Spain,NOR,McLaren,22.0,SOFT,22.0,1.0,1.0,1.0,80.928,3.0,Fast & Efficient Driver
2024.0,Spain,NOR,McLaren,23.0,SOFT,23.0,1.0,1.0,1.0,85.185,3.0,Fast & Efficient Driver
2024.0,Spain,NOR,McLaren,24.0,MEDIUM,1.0,2.0,6.0,1.0,97.673,3.0,Fast & Efficient Driver
2024.0,Spain,NOR,McLaren,25.0,MEDIUM,2.0,2.0,5.0,1.0,78.503,3.0,Fast & Efficient Driver
2024.0,Spain,NOR,McLaren,26.0,MEDIUM,3.0,2.0,5.0,1.0,79.856,3.0,Fast & Efficient Driver
2024.0,Spain,NOR,McLaren,27.0,MEDIUM,4.0,2.0,4.0,1.0,79.317,3.0,Fast & Efficient Driver
2024.0,Spain,NOR,McLaren,28.0,MEDIUM,5.0,2.0,4.0,1.0,79.835,3.0,Fast & Efficient Driver
2024.0,Spain,NOR,McLaren,29.0,MEDIUM,6.0,2.0,4.0,1.0,79.72,3.0,Fast & Efficient Driver
2024.0,Spain,NOR,McLaren,30.0,MEDIUM,7.0,2.0,4.0,1.0,79.389,3.0,Fast & Efficient Driver
2024.0,Spain,NOR,McLaren,31.0,MEDIUM,8.0,2.0,4.0,1.0,80.145,3.0,Fast & Efficient Driver
2024.0,Spain,NOR,McLaren,32.0,MEDIUM,9.0,2.0,3.0,1.0,79.868,3.0,Fast & Efficient Driver
2024.0,Spain,NOR,McLaren,33.0,MEDIUM,10.0,2.0,3.0,1.0,80.09,3.0,Fast & Efficient Driver
2024.0,Spain,NOR,McLaren,34.0,MEDIUM,11.0,2.0,3.0,1.0,79.855,3.0,Fast & Efficient Driver
2024.0,Spain,NOR,McLaren,35.0,MEDIUM,12.0,2.0,2.0,1.0,80.478,3.0,Fast & Efficient Driver
2024.0,Spain,NOR,McLaren,36.0,MEDIUM,13.0,2.0,2.0,1.0,79.447,3.0,Fast & Efficient Driver
2024.0,Spain,NOR,McLaren,37.0,MEDIUM,14.0,2.0,2.0,1.0,79.225,3.0,Fast & Efficient Driver
2024.0,Spain,NOR,McLaren,38.0,MEDIUM,15.0,2.0,2.0,1.0,79.307,3.0,Fast & Efficient Driver
2024.0,Spain,NOR,McLaren,39.0,MEDIUM,16.0,2.0,2.0,1.0,79.215,3.0,Fast & Efficient Driver
2024.0,Spain,NOR,McLaren,40.0,MEDIUM,17.0,2.0,2.0,1.0,79.745,3.0,Fast & Efficient Driver
2024.0,Spain,NOR,McLaren,41.0,MEDIUM,18.0,2.0,2.0,1.0,78.911,3.0,Fast & Efficient Driver
2024.0,Spain,NOR,McLaren,42.0,MEDIUM,19.0,2.0,2.0,1.0,79.511,3.0,Fast & Efficient Driver
2024.0,Spain,NOR,McLaren,43.0,MEDIUM,20.0,2.0,2.0,1.0,79.499,3.0,Fast & Efficient Driver
2024.0,Spain,NOR,McLaren,44.0,MEDIUM,21.0,2.0,2.0,1.0,79.457,3.0,Fast & Efficient Driver
2024.0,Spain,NOR,McLaren,45.0,MEDIUM,22.0,2.0,1.0,1.0,78.754,3.0,Fast & Efficient Driver
2024.0,Spain,NOR,McLaren,46.0,MEDIUM,23.0,2.0,1.0,1.0,79.419,3.0,Fast & Efficient Driver
2024.0,Spain,NOR,McLaren,47.0,MEDIUM,24.0,2.0,1.0,1.0,82.986,3.0,Fast & Efficient Driver
2024.0,Spain,NOR,McLaren,48.0,SOFT,4.0,3.0,2.0,1.0,97.126,3.0,Fast & Efficient Driver
