Driver,TyreLife,LapTimeSeconds
OCO,1.0,109.62047368421051
OCO,2.0,91.59019047619047
OCO,3.0,92.3533043478261
OCO,4.0,95.44800000000001
OCO,5.0,90.80664285714285
OCO,6.0,91.1088275862069
OCO,7.0,90.97892592592592
OCO,8.0,91.03664285714285
OCO,9.0,91.51060714285714
OCO,10.0,90.73577777777778
OCO,11.0,91.31251851851852
OCO,12.0,91.23003703703704
OCO,13.0,91.34764285714286
OCO,14.0,90.52780000000001
OCO,15.0,90.72548
OCO,16.0,90.85204166666666
OCO,17.0,90.2678
OCO,18.0,91.38636842105264
OCO,19.0,90.0975294117647
OCO,20.0,90.7478125
OCO,21.0,88.67223076923077
OCO,22.0,89.92025000000001
OCO,23.0,88.77077777777778
OCO,24.0,90.19044444444444
OCO,25.0,89.92271428571429
OCO,26.0,89.85414285714286
OCO,27.0,89.035
OCO,28.0,88.86420000000001
OCO,29.0,90.95259999999999
OCO,30.0,87.96733333333334
OCO,31.0,89.509
OCO,32.0,101.037
PER,1.0,105.24009523809524
PER,2.0,88.55966666666666
PER,3.0,90.14172727272727
PER,4.0,92.99300000000001
PER,5.0,89.83124137931034
PER,6.0,90.13564516129033
PER,7.0,89.9491
PER,8.0,89.92431034482757
PER,9.0,90.42145161290323
PER,10.0,90.50479999999999
PER,11.0,90.69946875
PER,12.0,90.915
PER,13.0,90.55848275862068
PER,14.0,90.53548275862069
PER,15.0,90.80973333333333
PER,16.0,90.8801724137931
PER,17.0,91.17378260869565
PER,18.0,91.5908695652174
PER,19.0,90.96183333333335
PER,20.0,91.591
PER,21.0,92.02257142857142
PER,22.0,91.7409
PER,23.0,93.64945454545455
PER,24.0,95.4265
PER,25.0,92.01366666666667
PER,26.0,92.25233333333334
PER,27.0,92.69483333333334
PER,28.0,96.0752
PER,29.0,92.79675
PER,30.0,92.54175000000001
PER,31.0,95.575
PER,32.0,94.65766666666667
PER,33.0,94.73366666666668
PER,34.0,93.261
PER,35.0,94.9085
PER,36.0,101.489
PER,37.0,103.171
PER,38.0,101.321
PER,39.0,113.087
PIA,1.0,104.10554545454546
PIA,2.0,87.75054545454545
PIA,3.0,90.76266666666668
PIA,4.0,91.64927777777777
PIA,5.0,89.14889473684211
PIA,6.0,90.08144999999999
PIA,7.0,89.10884999999999
PIA,8.0,88.9135
PIA,9.0,89.1181
PIA,10.0,88.95515
PIA,11.0,88.8759
PIA,12.0,89.09145
PIA,13.0,89.81138888888889
PIA,14.0,88.43738888888889
PIA,15.0,88.77822222222223
PIA,16.0,88.6168125
PIA,17.0,88.46653333333333
PIA,18.0,88.51993333333333
PIA,19.0,88.06978571428571
PIA,20.0,88.17192307692306
PIA,21.0,88.19107692307692
PIA,22.0,89.03546153846153
PIA,23.0,88.69744444444444
PIA,24.0,88.8
PIA,25.0,87.331
PIA,26.0,92.14366666666666
PIA,27.0,98.644
PIA,28.0,98.1735
PIA,29.0,98.476
PIA,30.0,98.561
PIA,31.0,98.4025
