Team,TyreLife,LapTimeSeconds
Kick Sauber,35.0,83.52250000000001
Kick Sauber,36.0,83.432
Kick Sauber,37.0,83.689
Kick Sauber,38.0,87.28
McLaren,1.0,107.71308108108109
McLaren,2.0,90.33772972972973
McLaren,3.0,92.09788888888889
McLaren,4.0,94.74170175438597
McLaren,5.0,92.09017741935484
McLaren,6.0,91.46571428571428
McLaren,7.0,91.838359375
McLaren,8.0,91.15622222222221
McLaren,9.0,91.32125396825396
McLaren,10.0,91.42280952380952
McLaren,11.0,90.93605172413794
McLaren,12.0,90.82198181818181
McLaren,13.0,91.03088679245282
McLaren,14.0,89.94046
McLaren,15.0,90.53613999999999
McLaren,16.0,90.7008125
McLaren,17.0,90.37102222222222
McLaren,18.0,89.7227380952381
McLaren,19.0,89.83554054054053
McLaren,20.0,89.88459999999999
McLaren,21.0,89.91760606060606
McLaren,22.0,90.81458620689655
McLaren,23.0,91.44527272727272
McLaren,24.0,90.30314285714284
McLaren,25.0,88.58055555555556
McLaren,26.0,91.1166
McLaren,27.0,91.53750000000001
McLaren,28.0,93.4595
McLaren,29.0,95.5462857142857
McLaren,30.0,96.09971428571428
McLaren,31.0,94.38966666666666
McLaren,32.0,94.5745
McLaren,33.0,90.91000000000001
McLaren,34.0,96.00200000000001
McLaren,35.0,97.10175000000001
McLaren,36.0,98.587
McLaren,37.0,98.73133333333334
McLaren,38.0,102.7775
McLaren,40.0,99.29249999999999
McLaren,41.0,99.563
Mercedes,1.0,108.72866666666667
Mercedes,2.0,93.40446341463415
Mercedes,3.0,93.98168085106383
Mercedes,4.0,92.56122807017543
Mercedes,5.0,91.37609677419356
Mercedes,6.0,91.369578125
Mercedes,7.0,91.14077419354838
Mercedes,8.0,91.3928125
Mercedes,9.0,91.49660655737705
Mercedes,10.0,91.76801587301587
Mercedes,11.0,91.18262295081968
Mercedes,12.0,91.61905
Mercedes,13.0,91.40125423728813
Mercedes,14.0,91.0196779661017
Mercedes,15.0,90.84278571428571
Mercedes,16.0,90.79545283018868
Mercedes,17.0,90.58404081632654
Mercedes,18.0,90.09575000000001
Mercedes,19.0,89.48964102564102
Mercedes,20.0,89.33279411764705
Mercedes,21.0,89.66638709677419
Mercedes,22.0,89.62875
Mercedes,23.0,89.69937499999999
Mercedes,24.0,89.34485
Mercedes,25.0,89.899
Mercedes,26.0,89.38146666666667
Mercedes,27.0,90.9269
Mercedes,28.0,89.25283333333334
Mercedes,29.0,89.26166666666666
Mercedes,30.0,90.35066666666667
Mercedes,31.0,92.40375
Mercedes,32.0,92.42875000000001
Mercedes,33.0,93.961
Mercedes,34.0,94.601
Mercedes,35.0,94.46999999999998
Mercedes,36.0,98.669
Mercedes,37.0,98.352
Mercedes,38.0,98.634
Mercedes,39.0,99.121
Mercedes,40.0,99.034
Mercedes,41.0,98.686
Mercedes,42.0,99.006
Mercedes,43.0,98.793
Mercedes,44.0,99.114
Mercedes,45.0,99.693
RB,1.0,106.865375
RB,2.0,91.93563157894737
RB,3.0,90.07621052631578
RB,4.0,92.93895238095239
RB,5.0,90.98277272727273
RB,6.0,91.54659090909091
RB,7.0,90.92519047619048
RB,8.0,91.39314285714286
RB,9.0,91.107
RB,10.0,91.35405555555556
RB,11.0,91.22
RB,12.0,91.62794117647059
RB,13.0,90.54133333333333
RB,14.0,91.148125
RB,15.0,90.62533333333334
RB,16.0,90.9928
RB,17.0,90.9256923076923
RB,18.0,92.04491666666667
RB,19.0,91.87254545454545
RB,20.0,92.26272727272728
RB,21.0,91.7289
RB,22.0,92.4505
RB,23.0,90.26816666666667
RB,24.0,92.8586
RB,25.0,93.0566
RB,26.0,93.4114
RB,27.0,95.72274999999999
RB,28.0,95.23925
RB,29.0,95.23775
RB,30.0,95.37475
RB,31.0,96.4565
RB,32.0,95.39833333333333
RB,33.0,97.38866666666667
RB,34.0,91.86949999999999
RB,35.0,94.223
RB,36.0,98.1175
RB,37.0,84.775
RB,38.0,84.518
RB,39.0,84.617
RB,40.0,84.817
RB,41.0,84.639
RB,42.0,84.219
RB,43.0,84.347
Red Bull Racing,1.0,105.92479069767441
Red Bull Racing,2.0,89.22611363636364
Red Bull Racing,3.0,90.34330434782609
Red Bull Racing,4.0,92.11558181818182
Red Bull Racing,5.0,90.40218644067797
Red Bull Racing,6.0,90.04034426229508
Red Bull Racing,7.0,89.91473333333333
Red Bull Racing,8.0,90.02165
Red Bull Racing,9.0,90.28251612903225
Red Bull Racing,10.0,90.41606666666667
Red Bull Racing,11.0,90.5521875
Red Bull Racing,12.0,90.82318032786885
Red Bull Racing,13.0,90.54228070175438
Red Bull Racing,14.0,90.96346551724137
Red Bull Racing,15.0,90.69791525423729
Red Bull Racing,16.0,90.79394736842106
Red Bull Racing,17.0,91.10354166666667
Red Bull Racing,18.0,90.67682222222221
Red Bull Racing,19.0,90.2356923076923
Red Bull Racing,20.0,90.59527027027028
Red Bull Racing,21.0,90.09410714285715
Red Bull Racing,22.0,89.5657142857143
Red Bull Racing,23.0,91.56721052631579
Red Bull Racing,24.0,91.9369375
Red Bull Racing,25.0,90.17571428571429
Red Bull Racing,26.0,90.9183076923077
Red Bull Racing,27.0,92.92972727272728
Red Bull Racing,28.0,96.07877777777779
Red Bull Racing,29.0,95.446875
Red Bull Racing,30.0,93.55042857142858
Red Bull Racing,31.0,95.14
Red Bull Racing,32.0,96.0038
Red Bull Racing,33.0,96.2438
Red Bull Racing,34.0,95.63333333333333
Red Bull Racing,35.0,96.69433333333332
Red Bull Racing,36.0,100.9305
Red Bull Racing,37.0,101.6975
Red Bull Racing,38.0,100.96549999999999
Red Bull Racing,39.0,107.13
Red Bull Racing,40.0,108.808
Williams,1.0,107.98940476190477
Williams,2.0,91.23227999999999
Williams,3.0,92.66830909090909
Williams,4.0,94.00609523809524
Williams,5.0,92.03487301587302
Williams,6.0,92.0913015873016
Williams,7.0,92.2947868852459
Williams,8.0,92.36779032258065
Williams,9.0,92.27018032786884
Williams,10.0,92.06873333333333
Williams,11.0,92.48140677966101
Williams,12.0,92.09214545454546
Williams,13.0,91.48639622641511
Williams,14.0,91.18966666666667
Williams,15.0,91.04386046511628
Williams,16.0,90.98919512195121
Williams,17.0,91.07942105263157
Williams,18.0,90.88816129032257
Williams,19.0,89.06979166666667
Williams,20.0,89.41236363636364
Williams,21.0,89.41457894736841
Williams,22.0,89.21776470588236
Williams,23.0,87.12807692307692
Williams,24.0,87.33976923076922
Williams,25.0,87.03008333333334
Williams,26.0,87.57781818181819
Williams,27.0,87.4899
Williams,28.0,87.0181
Williams,29.0,88.85833333333333
Williams,30.0,87.76428571428572
Williams,31.0,88.32939999999999
Williams,32.0,88.797
Williams,33.0,85.75575
Williams,34.0,85.74375
Williams,35.0,86.08525
Williams,36.0,85.69775
Williams,37.0,86.24566666666665
Williams,38.0,87.46950000000001
Williams,39.0,88.52950000000001
